Clusters	Gene1	Gene2
0	ENSG00000253549.1	ENSG00000267562.1
0	ENSG00000259755.1	ENSG00000252419.1
0	ENSG00000272226.1	ENSG00000207117.1
0	ENSG00000259138.1	ENSG00000230701.1
0	ENSG00000226856.1	ENSG00000212205.1
0	ENSG00000260153.1	ENSG00000268129.1
0	ENSG00000244509.3	ENSG00000182591.4
0	ENSG00000226200.2	ENSG00000255557.1
0	ENSG00000162552.10	ENSG00000089723.5
0	ENSG00000239899.2	ENSG00000244021.3
0	ENSG00000124557.8	ENSG00000200626.1
0	ENSG00000215866.3	ENSG00000158764.6
0	ENSG00000254694.1	ENSG00000118245.2
0	ENSG00000241693.2	ENSG00000169218.9
0	ENSG00000138755.5	ENSG00000269944.1
0	ENSG00000203576.1	ENSG00000233816.2
0	ENSG00000200591.1	ENSG00000214457.3
0	ENSG00000261476.1	ENSG00000226846.1
0	ENSG00000179855.5	ENSG00000248394.1
0	ENSG00000234928.1	ENSG00000269332.1
0	ENSG00000239173.1	ENSG00000154645.9
0	ENSG00000164342.8	ENSG00000198400.7
0	ENSG00000184786.4	ENSG00000178372.6
0	ENSG00000145491.7	ENSG00000224183.1
0	ENSG00000113396.8	ENSG00000222545.1
0	ENSG00000201121.1	ENSG00000206926.1
0	ENSG00000238806.1	ENSG00000223235.1
0	ENSG00000228376.3	ENSG00000211721.2
0	ENSG00000023445.9	ENSG00000240751.1
0	ENSG00000240877.2	ENSG00000270469.1
0	ENSG00000088320.3	ENSG00000133063.11
0	ENSG00000269794.1	ENSG00000251148.1
0	ENSG00000237141.1	ENSG00000213790.2
0	ENSG00000251374.1	ENSG00000267057.1
0	ENSG00000229588.1	ENSG00000265356.1
0	ENSG00000266256.1	ENSG00000270690.1
0	ENSG00000200648.1	ENSG00000226472.3
0	ENSG00000254272.1	ENSG00000171794.3
0	ENSG00000227573.2	ENSG00000145002.8
0	ENSG00000242034.1	ENSG00000234546.2
0	ENSG00000258273.1	ENSG00000261379.1
0	ENSG00000207497.1	ENSG00000252355.1
0	ENSG00000156194.13	ENSG00000222924.1
0	ENSG00000270087.1	ENSG00000239542.2
0	ENSG00000232333.1	ENSG00000267500.1
0	ENSG00000243107.1	ENSG00000188100.8
0	ENSG00000247134.2	ENSG00000261216.1
0	ENSG00000231086.1	ENSG00000136250.7
0	ENSG00000247199.3	ENSG00000222057.1
0	ENSG00000221104.1	ENSG00000199400.1
0	ENSG00000197358.8	ENSG00000125998.7
0	ENSG00000205913.2	ENSG00000189068.5
0	ENSG00000134955.7	ENSG00000235570.1
0	ENSG00000216285.4	ENSG00000260880.2
0	ENSG00000214369.2	ENSG00000228247.1
0	ENSG00000271860.1	ENSG00000233936.1
0	ENSG00000223659.1	ENSG00000253793.1
0	ENSG00000237479.1	ENSG00000213548.3
0	ENSG00000220867.1	ENSG00000226904.1
0	ENSG00000230037.1	ENSG00000259685.1
0	ENSG00000228208.2	ENSG00000202059.1
0	ENSG00000266088.1	ENSG00000228124.1
0	ENSG00000199591.1	ENSG00000237560.1
0	ENSG00000228512.2	ENSG00000180178.6
0	ENSG00000232965.1	ENSG00000201492.1
0	ENSG00000197067.4	ENSG00000102837.6
0	ENSG00000247270.2	ENSG00000232879.2
0	ENSG00000188312.9	ENSG00000227039.2
0	ENSG00000228204.2	ENSG00000244080.2
0	ENSG00000253858.1	ENSG00000247735.2
0	ENSG00000207693.1	ENSG00000244021.3
0	ENSG00000258365.1	ENSG00000235249.1
0	ENSG00000196296.9	ENSG00000243104.1
0	ENSG00000156689.2	ENSG00000227416.2
0	ENSG00000129680.11	ENSG00000227781.4
0	ENSG00000259783.1	ENSG00000272711.1
0	ENSG00000265413.1	ENSG00000263654.1
0	ENSG00000157303.6	ENSG00000205579.2
0	ENSG00000204978.2	ENSG00000272620.1
0	ENSG00000259215.1	ENSG00000247498.5
0	ENSG00000240935.2	ENSG00000270424.1
0	ENSG00000250928.1	ENSG00000188133.5
0	ENSG00000231829.2	ENSG00000234329.1
0	ENSG00000261332.1	ENSG00000178150.4
0	ENSG00000156234.7	ENSG00000258752.1
0	ENSG00000201492.1	ENSG00000112038.13
0	ENSG00000227363.1	ENSG00000259377.1
0	ENSG00000255690.1	ENSG00000224479.1
0	ENSG00000187783.7	ENSG00000217258.2
0	ENSG00000084110.6	ENSG00000269337.1
0	ENSG00000249780.1	ENSG00000259275.1
0	ENSG00000260608.1	ENSG00000187955.7
0	ENSG00000225336.2	ENSG00000264471.1
0	ENSG00000273319.1	ENSG00000204152.6
0	ENSG00000263740.1	ENSG00000255382.1
0	ENSG00000227973.1	ENSG00000248503.2
0	ENSG00000209482.1	ENSG00000141527.12
0	ENSG00000239389.3	ENSG00000185829.11
0	ENSG00000187122.12	ENSG00000231699.1
0	ENSG00000200887.1	ENSG00000215203.2
0	ENSG00000238058.1	ENSG00000225448.1
0	ENSG00000248671.3	ENSG00000206820.1
0	ENSG00000252311.1	ENSG00000259419.2
0	ENSG00000178458.5	ENSG00000230882.1
0	ENSG00000055732.8	ENSG00000265984.1
0	ENSG00000149735.2	ENSG00000053328.8
0	ENSG00000220875.1	ENSG00000271029.1
0	ENSG00000258854.1	ENSG00000121552.3
0	ENSG00000263300.1	ENSG00000234272.1
0	ENSG00000259699.2	ENSG00000268148.1
0	ENSG00000154485.4	ENSG00000269302.1
0	ENSG00000253059.1	ENSG00000262202.3
0	ENSG00000229348.1	ENSG00000243433.1
0	ENSG00000258443.1	ENSG00000258107.1
0	ENSG00000240173.2	ENSG00000225373.4
0	ENSG00000199880.1	ENSG00000124701.5
0	ENSG00000241720.2	ENSG00000268295.1
0	ENSG00000203908.3	ENSG00000268913.1
0	ENSG00000197550.3	ENSG00000212529.1
0	ENSG00000266903.1	ENSG00000101680.9
0	ENSG00000237075.4	ENSG00000222623.1
0	ENSG00000229150.1	ENSG00000234271.1
0	ENSG00000265451.1	ENSG00000265695.1
0	ENSG00000229255.1	ENSG00000235957.1
0	ENSG00000239084.1	ENSG00000228519.3
0	ENSG00000271304.1	ENSG00000197360.5
0	ENSG00000200879.1	ENSG00000250215.1
0	ENSG00000269148.1	ENSG00000265395.1
0	ENSG00000240853.2	ENSG00000226191.3
0	ENSG00000255471.1	ENSG00000134612.7
0	ENSG00000252874.1	ENSG00000254740.2
0	ENSG00000243847.2	ENSG00000222222.1
